Species,Mass,Temperature,MR,AvgMass,Q10SMR,Reference
Alopex lagopus,3600,38.6,1374,3600,1291.356,[1]
Canis latrans,10000,37,2686.567,10000,2979.196,[2]
Canis mesomelas,7720,38,3860,7720,3860,[3]
Cerdocyon thous,5444,38.2,1524.318,5444,1493.122,[4]
Fennecus zerda,1215,38.8,583.2,1215,536.9037,[5]
Vulpes macrotis,1769,38,887.1403,1769,887.1403,[2]
Vulpes vulpes,4440,38.7,2442,4440,2271.51,[6]
Acinonyx jubatus,37900,39,8982,37900,8099.751,[7]
Felis concolor,37200,37.6,8841.7,37200,9215.021,[8]
Felis pardalis,10500,38,3126.3,10500,3126.3,[8]
Felis serval,10100,36.5,3137.2,10100,3663.484,[8]
Felis wiedii,3600,38,937.2,3600,937.2,[8]
Felis yagouaroundi,8400,38.4,1737,8400,1666.63,[8]
Panthera leo,98000,37.9,16954,98000,17130.2,[8]
Panthera tigris,137900,37.5,23994.6,137900,25267.61,[8]
Galerella sanguinea,540,38.7,410.4,540,381.7477,[9]
Herpestes javanicus,611,39.76,403.26,611,336.1698,[10]
Suricata suricatta,850,36.3,310.2498,850,369.8655,[11]
Proteles cristatus,8100,36.4,2194.3,8100,2589.037,[8]
Eira barbara,2950,38.4,1221.3,2950,1171.822,[12]
Lutra lutra,10000,38.14,4500,10000,4435.334,[13;14]
Martes americana,900,37.95,594.9,900,597.9833,[15]
Mustela erminea,75,39.6,165,75,139.8433,[1]
Mustela frenata,225,39,240.5769,225,216.9465,[16]
Mustela vison,660,39,488.4,660,440.4273,[17]
Spilogale putorius,624,36.35,299.52,624,355.2328,[18]
Taxidea taxus,9000,38,2700,9000,2700,[19]
Ailurus fulgens,5740,37.6,878.22,5740,915.3009,[12]
Bassariscus sumichrasti,1280,38.8,633.6,1280,583.3028,[12] 
Nasua narica,3670,38.6,1207.43,3670,1134.805,[12]
Nasua nasua,4000,36.4,992,4000,1170.453,[12]
Potos flavus,2343.3,36.07,795.9522,2343.333,972.0673,[12]
Procyon lotor,5075,38,1598.625,5075,1598.625,[12]
Arctictis binturong,14280,36.7,2284.8,14280,2613.485,[12]
Arctogalidia trivirgata,2010,36.2,552.75,2010,665.8114,[12]
Fossa fossana,2260,37.9,906.26,2260,915.6784,[12]
Nandinia binotata,4270,37.4,862.54,4270,917.7409,[12]
Paradoxurus hermaphroditus,3160,36.45,759.98,3160,892.0708,[12]
Peropteryx macrotis,5,34.4,11.55,5,16.75818,[20]
Saccopteryx bilineata,7.8,35.5,14.508,7.8,18.78715,[21]
Hipposideros galeritus,8.5,31.9,9.35,8.5,17.5675,[22]
Rhinonycteris aurantius,8.27,36.1,16.2092,8.27,19.7276,[23]
Macroderma gigas,148,37,139.12,148,154.2734,[24]
Eumops perotis,56,32.6,39.76,56,69.48865,[24]
Molossus molossus,15.6,31.4,22.464,15.6,44.44636,[24]
Tadarida brasiliensis,16.9,36,20.28,16.9,24.93852,[25]
Mormoops blainvilli,8.6,32,7.998,8.6,14.8727,[26]
Mormoops megalophylla,16.5,36.9,24.42,16.5,27.36133,[27]
Pteronotus davyi,9.4,38.8,15.322,9.4,14.10569,[27]
Pteronotus parnellii,19.2,36.4,30.72,19.2,36.24628,[27]
Pteronotus personatus,14,37.5,22.96,14,24.17812,[27]
Pteronotus quadridens,4.9,31,6.125,4.9,12.63036,[26]
Natalus tumidirostris,5.4,32.2,8.316,5.4,15.14755,[20]
Noctilio albiventris,27,32,31.59,27,58.74324,[24]
Noctilio leporinus,61,33.8,70.76,61,109.238,[24]
Anoura caudifera,11.5,36.5,42.665,11.5,49.82231,[24]
Artibeus jamaicensis,45.2,36.4,76.84,45.2,90.66289,[24]
Artibeus lituratus,70.1,37.3,107.954,70.1,116.0566,[24]
Carollia perspicillata,14.9,36.4,43.061,14.9,50.80732,[24] 
Chrotopterus auritus,96.1,37.2,141.267,96.1,153.4482,[24]
Desmodus rotundus,29.4,35,34.692,29.4,47.30788,[24]
Diaemus youngi,36.6,31.1,37.332,36.6,76.1905,[24]
Diphylla ecaudata,27.8,32.4,38.642,27.8,68.94572,[24]
Erophylla bombifrons,16.1,32,17.71,16.1,32.93266,[26]
Glossophaga soricina,9.6,35.5,29.376,9.6,38.04049,[24]
Koopmania concolor,19.7,35.3,39.794,19.7,52.60794,[24]
Leptonycteris curasoae yerbabuenae,22,35.7,44,22,55.81178,[24]
Macrotus californicus,11.7,35,14.625,11.7,19.94344,[28]
Monophyllus redmani,8.7,34,11.136,8.7,16.83972,[26]
Phyllostomus discolor,33.5,34.6,47.905,33.5,68.08408,[24]
Phyllostomus hastatus,84.2,34.7,100.198,84.2,140.9398,[24]
Platyrrhinus lineatus,21.9,36.4,44.895,21.9,52.97125,[24]
Rhinophylla pumilio,9.5,34.7,18.62,9.5,26.19113,[24]
Sturnira lilium,21.9,36.4,53.217,21.9,62.79031,[24]
Tonatia bidens,27.4,37,55.074,27.4,61.07282,[24]
Uroderma bilobatum,16.2,35.1,31.59,16.2,42.63474,[24]
Cynopterus brachyotis,37.4,36.5,47.5,37.4,55.46841,[29]
Dobsonia anderseni,241.4,36.4,174,241.4,205.3012,[29]
Dobsonia minor,73.7,36.5,74.4,73.7,86.88104,[29]
Dobsonia moluccensis,404.3,36.8,367.9,404.3,416.4966,[29]
